Año,Recuento de Accidentes por Año
1908,1
1909,1
1912,1
1913,3
1915,2
1916,5
1917,7
1918,4
1919,9
1920,18
1921,12
1922,13
1923,13
1924,7
1925,11
1926,13
1927,20
1928,36
1929,39
1930,26
1931,33
1932,28
1933,28
1934,31
1935,42
1936,50
1937,36
1938,56
1939,30
1940,25
1941,27
1942,38
1943,44
1944,56
1945,75
1946,88
1947,82
1948,78
1949,67
1950,71
1951,75
1952,65
1953,70
1954,61
1955,57
1956,53
1957,66
1958,68
1959,66
1960,70
1961,59
1962,78
1963,64
1964,59
1965,64
1966,59
1967,58
1968,65
1969,69
1970,73
1971,58
1972,77
1973,64
1974,58
1975,51
1976,57
1977,63
1978,51
1979,60
1980,45
1981,50
1982,54
1983,48
1984,48
1985,56
1986,51
1987,54
1988,64
1989,83
1990,61
1991,69
1992,66
1993,56
1994,74
1995,60
1996,68
1997,56
1998,59
1999,62
2000,63
2001,58
2002,55
2003,62
2004,46
2005,45
2006,38
2007,43
2008,51
2009,46
2010,40
2011,36
2012,26
2013,25
2014,23
2015,18
2016,23
2017,15
2018,19
2019,13
2020,8
2021,7
